Team Name,School Name,Team Mascot,Conference,Division,Club Code,Club Code 2,NFS Team Code,NCAA ID,ID,Institution
Abilene Christian Wildcats,Abilene Christian University,Wildcats,Southland Conference,1AA,ACU,ABC,TXAC,2.0,2.0,Abilene Christian
Acadia University,Acadia University,Acadia University,Atlantic University Sport,Canada,AUC,A,CNAC,,,
American,American,American,,OTHER,AMR,A,AMER,,,
Barry Buccaneers,Barry University,Buccaneers,NO FOOTBALL,1AA,BAB,BAB,FLBA,,,
Bishop's University,Bishop's University,Bishop's University,Quebec Student Sports Foundation,Canada,BU,BIU,CNBI,,,
Blinn Buccaneers,Blinn College,Buccaneers,Southwest Junior College Football Conference,NJCAA,BLN,BLI,TXBL,,,
Blue,Blue,Blue,,2,BLU,BLU,NBBL,,,
Butte Roadrunners,Butte College,Roadrunners,Northern California Football Conference,CCCCA,BUT,BTT,CABU,,,
College of the Redwoods Corsairs,College of the Redwoods,Corsairs,Northern California Football Conference,CCCCA,RED,COR,CARD,,,
Desperados,Desperados,Desperados,Other,OTHER,DES,D,DESP,,,
Diablo Valley Vikings,Diablo Valley College,Vikings,Northern California Football Conference,CCCCA,DVC,DIA,CADV,,,
East,East,East,,OTHER,E,EAS,EAST,,,
Erie Kats,Erie Community College,Kats,Independent,NJCAA,ECC,ERE,NYER,,,
Graceland Yellowjackets,Graceland University,Yellowjackets,Heart of America Athletic Conference,NAIA,GRA,GU,IAGL,,,
Hinds Eagles,Hinds Community College,Eagles,Mississippi CC Athletic Association,NJCAA,HCC,HIN,MSHI,,,
Jones County Bobcats,Jones County Junior College,Bobcats,Mississippi CC Athletic Association,NJCAA,JC,JCJ,MSJC,,,
Long Beach Vikings,Long Beach City College,Vikings,Southern California Football Association,CCCCA,LBC,LCC,CALG,,,
McGill University,McGill University,McGill University,Quebec Student Sports Foundation,Canada,MCG,MG,CNMG,,,
McMaster Marauders,McMaster University,Marauders,Ontario Universities Athletic Association,Canada,MU,M,CNMC,,,
MidAmerica Nazarene University,MidAmerica Nazarene University,MidAmerica Nazarene University,Heart of America Athletic Conference,NAIA,MNZ,A,KSMA,,,
Mississippi Gulf Coast Bulldogs,Mississippi Gulf Coast Community College,Bulldogs,Mississippi CC Athletic Association,NJCAA,MGC,MIS,MSGC,,,
Morthland College,Morthland College,,North Central Intercollegiate Athletic Conf.,2,MR,MR,ILMR,,,
Mount Allison University,Mount Allison University,Mount Allison University,Atlantic University Sport,Canada,MAU,MAL,CNMA,,,
Mount SAC Mounties,Mount San Antonio College,Mounties,Southern California Football Association,CCCCA,MSA,MOU,CAMS,,,
National,National,National,,OTHER,NAT,N,NATL,,,
Navy,Navy,Navy,Other,OTHER,NVY,NAV,FCNY,,,
North,North,North,,OTHER,N,NOR,NORT,,,
Ottawa Spirit,Ottawa University - Arizona,Spirit,Independent,NAIA,OTA,OU,AZOT,,,
Pasadena Lancers,Pasadena City College,Lancers,Southern California Football Association,CCCCA,PCC,PAS,CAPC,,,
Pima Aztecs,Pima Community College,Aztecs,Western States Football Conference,NJCAA,PIM,PMA,AZPI,,,
Queen's University,Queen's University,Queen's University,Ontario Universities Athletic Association,Canada,QU,A,CNQN,,,
Red,Red,Red,,2,RED,RED,NBRE,,,
Saint Francis Xavier University,Saint Francis Xavier University,Saint Francis Xavier University,Atlantic University Sport,Canada,SFX,A,CNFX,,,
Saint Mary's Huskies,Saint Mary's University,Huskies,Atlantic University Sport,Canada,SMU,MAR,CNSM,,,
Scottsdale Fighting Artichokes,Scottsdale Community College,Fighting Artichokes,Western States Football Conference,NJCAA,SCC,SCO,AZSC,,,
South,South,South,,OTHER,S,SOU,SOUT,,,
Stars,Stars,Stars,,OTHER,STA,STR,STAR,,,
Stripes,Stripes,Stripes,,OTHER,STR,STP,STRP,,,
Universite' de Montreal,Universite' de Montreal,Universite' de Montreal,Quebec Student Sports Foundation,Canada,MON,MTL,CNMO,,,
Universite' de Sherbrooke,Universite' de Sherbrooke,Universite' de Sherbrooke,Quebec Student Sports Foundation,Canada,SHR,UDS,CNSH,,,
Universite' Laval,Universite' Laval,Universite' Laval,Quebec Student Sports Foundation,Canada,LAV,LVL,CNLV,,,
University of Alberta,University of Alberta,University of Alberta,Canada West Universities Athletic Association,Canada,UAL,A,CNAL,,,
University of British Columbia,University of British Columbia,University of British Columbia,Canada West Universities Athletic Association,Canada,UBC,A,CNBC,,,
University of Manitoba,University of Manitoba,University of Manitoba,Canada West Universities Athletic Association,Canada,UMT,A,CNMT,,,
University of Regina,University of Regina,University of Regina,Canada West Universities Athletic Association,Canada,URG,A,CNRG,,,
University of Saskatchewan,University of Saskatchewan,University of Saskatchewan,Canada West Universities Athletic Association,Canada,USK,A,CNSU,,,
West,West,West,,OTHER,W,WES,WEST,,,
White,White,White,Other,OTHER,WHI,WH,FCWH,,,
Wilfrid Laurier University,Wilfrid Laurier University,Wilfrid Laurier University,Ontario Universities Athletic Association,Canada,WIL,WLU,CNWI,,,
Wranglers,Wranglers,Wranglers,Other,OTHER,WRA,W,WRAN,,,
Adams State Grizzlies,Adams State College,Grizzlies,Rocky Mountain Athletic Conference,2,ADA,ASC,COAD,929.0,929.0,Adams St.
Adrian Bulldogs,Adrian College,Bulldogs,Michigan Intercollegiate Athletic Association,3,ADR,ADC,MIAD,4.0,4.0,Adrian
Air Force Academy Falcons,United States Air Force Academy,Falcons,Mountain West Conference,1A,AIR,AF,COAF,721.0,721.0,Air Force
Akron Zips,University of Akron,Zips,Mid-American Conference,1A,AKR,ZIP,OHAK,5.0,5.0,Akron
Alabama A&M Bulldogs,Alabama A&M University,Bulldogs,Southwestern Athletic Conference,1AA,ALA,AAM,ALAM,6.0,6.0,Alabama A&M
Alabama Crimson Tide,University of Alabama,Crimson Tide,Southeastern Conference,1A,AL,ALA,ALUN,8.0,8.0,Alabama
Alabama State Hornets,Alabama State University,Hornets,Southwestern Athletic Conference,1AA,ALH,ALA,ALST,7.0,7.0,Alabama St.
Alabama-Birmingham Blazers,University of Alabama-Birmingham,Blazers,Conference USA,1A,UAB,ALA,ALBI,9.0,9.0,UAB
Albany Great Danes,University at Albany,Great Danes,Colonial Athletic Association,1AA,ALB,ABY,NYAB,14.0,14.0,UAlbany
Albany State Rams,Albany State University,Rams,Southern Intercollegiate Athletic Conference,2,ASR,ABY,GAAL,13.0,13.0,Albany St. (GA)
Albion Britons,Albion College,Britons,Michigan Intercollegiate Athletic Association,3,ABB,ABC,MIAB,15.0,15.0,Albion
Albright Lions,Albright College,Lions,Middle Atlantic Conference,3,ABL,ABC,PAAB,16.0,16.0,Albright
Alcorn State Braves,Alcorn State University,Braves,Southwestern Athletic Conference,1AA,ALC,ASU,MSAL,17.0,17.0,Alcorn
Alderson Broaddus Battlers,Alderson Broaddus University,Battlers,Independent,2,AB,ALD,WVAB,934.0,,
Alfred Saxons,Alfred University,Saxons,Empire 8 Conference,3,ALF,ALU,NYAF,18.0,18.0,Alfred
Alfred State Pioneers,Alfred State SUNY College of Technology,Pioneers,Independent,3,ASP,AS,NYAL,30170.0,30170.0,Alfred St.
Allegheny Gators,Allegheny College,Gators,North Coast Athletic Conference,3,ALE,ALG,PAAG,19.0,19.0,Allegheny
Alma Scots,Alma College,Scots,Michigan Intercollegiate Athletic Association,3,ALM,ALA,MIAM,21.0,21.0,Alma
Alvernia Golden Wolves,Alvernia University,Golden Wolves,Presidents Athletic Conference,3,ALV,ALU,PAAV,938.0,938.0,Alvernia
American International Yellow Jackets,American International College,Yellow Jackets,Northeast-10 Conference,2,AI,AIU,MAAI,22.0,22.0,American Int'l
Amherst Jeffs,Amherst College,Jeffs,New England Small College Athletic Conference,3,AMH,AC,MAAM,24.0,24.0,Amherst
Anderson Ravens,Anderson University,Ravens,Heartland Collegiate Athletic Conference,3,AND,AU,INAN,939.0,939.0,Anderson (IN)
Angelo State Rams,Angelo State University,Rams,Lone Star Conference,2,ANG,ASU,TXAN,25.0,25.0,Angelo St.
Anna Maria AmCats,Anna Maria College,AmCats,Eastern Collegiate Football Conference,3,AM,AMC,MAAN,26.0,26.0,Anna Maria
Appalachian State Mountaineers,Appalachian State University,Mountaineers,Sun Belt Conference,1A,APP,ASU,NCAP,27.0,27.0,App State
Arizona Christian Firestorm,Arizona Christian University,Firestorm,Independent,NAIA,AC,ACU,AZCH,504994.0,504994.0,Arizona Christian
Arizona State Sun Devils,Arizona State University,Sun Devils,Pacific Twelve Conference,1A,ASU,ARZ,AZST,28.0,28.0,Arizona St.
Arizona Wildcats,University of Arizona,Wildcats,Pacific Twelve Conference,1A,AZ,ARZ,AZUN,29.0,29.0,Arizona
Arkansas Razorbacks,University of Arkansas,Razorbacks,Southeastern Conference,1A,AR,ARK,ARUN,31.0,31.0,Arkansas
Arkansas State Red Wolves,Arkansas State University,Red Wolves,Sun Belt Conference,1A,ARW,ARK,ARST,30.0,30.0,Arkansas St.
Arkansas Tech Wonder Boys,Arkansas Tech University,Wonder Boys,Great American Conference,2,ATU,ARK,ARTC,947.0,947.0,Arkansas Tech
Arkansas-Monticello Boll Weevils,University of Arkansas-Monticello,Boll Weevils,Great American Conference,2,ARK,ARM,ARMO,8411.0,8411.0,Ark.-Monticello
Arkansas-Pine Bluff Golden Lions,University of Arkansas-Pine Bluff,Golden Lions,Southwestern Athletic Conference,1AA,UAP,ARK,ARPB,2678.0,2678.0,Ark.-Pine Bluff
Army Black Knights,United States Military Academy,Black Knights,Independent,1A,ARM,ARY,NYWP,725.0,725.0,Army West Point
Ashland Eagles,Ashland University,Eagles,Great Lakes Intercollegiate Athletic Conference,2,ASH,AU,OHAS,35.0,35.0,Ashland
Assumption Greyhounds,Assumption College,Greyhounds,Northeast-10 Conference,2,ASS,AC,MAAS,36.0,36.0,Assumption
Auburn Tigers,Auburn University,Tigers,Southeastern Conference,1A,AUB,AU,ALAU,37.0,37.0,Auburn
Augsburg Auggies,Augsburg College,Auggies,Minnesota Intercollegiate Athletic Conference,3,AUA,AC,MNAV,38.0,38.0,Augsburg
Augustana College Vikings,Augustana College (S.D.),Vikings,Northern Sun Intercollegiate Conference,2,AUG,AC,SDAU,41.0,41.0,Augustana (SD)
Augustana Vikings,Augustana College (Ill.),Vikings,College Conference of Illinois and Wisconsin,3,ACV,AC,ILAU,40.0,40.0,Augustana (IL)
Aurora Spartans,Aurora University,Spartans,Northern Athletics Conference,3,AUR,ARA,ILAR,42.0,42.0,Aurora
Austin Kangaroos,Austin College,Kangaroos,Southern Collegiate Athletic Conference,3,AUS,AC,TXAU,953.0,953.0,Austin
Austin Peay Governors,Austin Peay State University,Governors,Ohio Valley Conference,1AA,APY,AUS,TNAP,43.0,43.0,Austin Peay
Ave Maria Gyrenes,Ave Maria University,Gyrenes,The Sun Conference,NAIA,AVE,AM,FLAV,506346.0,506346.0,Ave Maria
Averett Cougars,Averett University,Cougars,USA South Athletic Conference,3,AVE,AVR,VAAV,44.0,44.0,Averett
Azusa Pacific Cougars,Azusa Pacific University,Cougars,Great Northwest Athletic Conference,2,AP,APU,CAAZ,30146.0,30146.0,Azusa Pacific
Bacone Warriors,Bacone College,Warriors,Central States Football League,NAIA,BAC,BC,OKBC,506174.0,506174.0,Bacone
Baker Wildcats,Baker University,Wildcats,Heart of America Athletic Conference,NAIA,BAK,BU,KSBA,506059.0,506059.0,Baker
Baldwin-Wallace Yellow Jackets,Baldwin-Wallace College,Yellow Jackets,Ohio Athletic Conference,3,BW,BAL,OHBW,46.0,46.0,Baldwin Wallace
Ball State Cardinals,Ball State University,Cardinals,Mid-American Conference,1A,BAL,BSU,INBS,47.0,47.0,Ball St.
Bates Bobcats,Bates College,Bobcats,New England Small College Athletic Conference,3,BAT,BC,MEBA,50.0,50.0,Bates
Baylor Bears,Baylor University,Bears,Big Twelve Conference,1A,BAY,BU,TXBA,51.0,51.0,Baylor
Becker Hawks,Becker College,Hawks,Eastern Collegiate Football Conference,3,BEC,BC,MABK,26107.0,,
Belhaven Blazers,Belhaven University,Blazers,Mid-South Conference,NAIA,BEL,BU,MSBH,30197.0,30197.0,Belhaven
Beloit Buccaneers,Beloit College,Buccaneers,Midwest Conference,3,BEL,BC,WIBE,53.0,53.0,Beloit
Bemidji State Beavers,Bemidji State University,Beavers,Northern Sun Intercollegiate Conference,2,BSU,BEM,MNBM,54.0,54.0,Bemidji St.
Benedict Tigers,Benedict College,Tigers,Southern Intercollegiate Athletic Conference,2,BEN,BC,SCBC,55.0,55.0,Benedict
Benedictine Eagles,Benedictine University,Eagles,Northern Athletics Conference,3,BUE,BU,ILBE,296.0,296.0,Benedictine (IL)
Benedictine Ravens,Benedictine College,Ravens,Heart of America Athletic Conference,NAIA,BEN,BC,KSBN,506015.0,506015.0,Benedictine (KS)
Bentley Falcons,Bentley College,Falcons,Northeast-10 Conference,2,BNT,BTY,MABE,56.0,56.0,Bentley
Berry Vikings,Berry College,Vikings,Southern Athletic Association,3,BER,BC,GABE,973.0,973.0,Berry
Bethany Bison,Bethany College,Bison,Presidents Athletic Conference,3,BET,BTH,WVBE,59.0,59.0,Bethany (WV)
Bethany Swedes,Bethany College,Swedes,Kansas Collegiate Athletic Conference,NAIA,BET,BTH,KSBY,506014.0,506014.0,Bethany (KS)
Bethel Royals,Bethel University,Royals,Minnesota Intercollegiate Athletic Conference,3,BTR,BTH,MNBT,60.0,60.0,Bethel (MN)
Bethel Threshers,Bethel College (Kan.),Threshers,Kansas Collegiate Athletic Conference,NAIA,BET,BTH,KSBL,506120.0,506120.0,Bethel (KS)
Bethel Wildcats,Bethel University,Wildcats,Mid-South Conference,NAIA,BET,BU,TNBC,500500.0,500500.0,Bethel (TN)
Bethune-Cookman Wildcats,Bethune-Cookman College,Wildcats,Mid-Eastern Athletic Conference,1AA,BCC,BET,FLBC,61.0,61.0,Bethune-Cookman
Birmingham-Southern Panthers,Birmingham-Southern College,Panthers,Southern Athletic Association,3,BS,BSC,ALBS,28593.0,28593.0,Birmingham-So.
Black Hills Yellow Jackets,Black Hills State University,Yellow Jackets,Rocky Mountain Athletic Conference,2,BH,BHS,SDBH,30134.0,30134.0,Black Hills St.
Bloomsburg Huskies,Bloomsburg University,Huskies,Pennsylvania State Athletic Conference,2,BLO,BU,PABL,65.0,65.0,Bloomsburg
Bluefield Rams,Bluefield College,Rams,Mid-South Conference,NAIA,BLU,BC,VABL,500552.0,500552.0,Bluefield Univ.
Bluffton Beavers,Bluffton College,Beavers,Heartland Collegiate Athletic Conference,3,BLF,BLU,OHBL,987.0,987.0,Bluffton
Boise State Broncos,Boise State University,Broncos,Mountain West Conference,1A,BOI,BSU,IDBO,66.0,66.0,Boise St.
Boston College Eagles,Boston College,Eagles,Atlantic Coast Conference,1A,BC,BOS,MABC,67.0,67.0,Boston College
Bowdoin Polar Bears,Bowdoin College,Polar Bears,New England Small College Athletic Conference,3,BPB,BC,MEBO,69.0,69.0,Bowdoin
Bowie State Bulldogs,Bowie State University,Bulldogs,Central Intercollegiate Athletic Association,2,BOW,BSU,MDBO,70.0,70.0,Bowie St.
Bowling Green Falcons,Bowling Green State University,Falcons,Mid-American Conference,1A,BG,BGS,OHBG,71.0,71.0,Bowling Green
Brevard Tornados,Brevard College,Tornados,South Atlantic Conference,2,BRE,BRV,NCBR,30094.0,30094.0,Brevard
Briar Cliff Chargers,Briar Cliff University,Chargers,Great Plains Athletic Conference,NAIA,BRI,BC,IABC,500615.0,500615.0,Briar Cliff (IA)
Bridgewater College,Bridgewater College,Eagles,Old Dominion Athletic Conference,3,BRI,BC,VABR,75.0,75.0,Bridgewater (VA)
Bridgewater State Bears,Bridgewater State College,Bears,Massachusetts State College Athletic Conference,3,BCB,BSC,MABR,76.0,76.0,Bridgewater St.
Brigham Young Cougars,Brigham Young University,Cougars,Independent,1A,BYU,BY,UTBY,77.0,77.0,BYU
Brown Bears,Brown University,Bears,Ivy League,1AA,BU,BRO,RIBR,80.0,80.0,Brown
Bryant Bulldogs,Bryant University,Bulldogs,Northeast Conference,1AA,BRY,BU,RIBT,81.0,81.0,Bryant
Bucknell Bison,Bucknell University,Bison,Patriot League,1AA,BCK,BUC,PABU,83.0,83.0,Bucknell
Buena Vista Beavers,Buena Vista University,Beavers,Iowa Intercollegiate Athletic Conference,3,BV,BUE,IABV,84.0,84.0,Buena Vista
Buffalo Bulls,University at Buffalo,Bulls,Mid-American Conference,1A,BUF,UB,NYBU,86.0,86.0,Buffalo
Buffalo State Bengals,Buffalo State College,Bengals,Empire 8 Conference,3,BSB,BSC,NYBC,85.0,85.0,Buffalo St.
Butler Bulldogs,Butler University,Bulldogs,Pioneer Football League,1AA,BUT,BU,INBU,87.0,87.0,Butler
Cal Poly Mustangs,California Poly State University,Mustangs,Big Sky Conference,1AA,CPS,A,CASL,90.0,90.0,Cal Poly
Calgary Dinos,University of Calgary,Dinos,Canada West Universities Athletic Association,Canada,CAL,CL,CNCA,506453.0,506453.0,Calgary (CAN)
California Lutheran Kingsmen,California Lutheran University,Kingsmen,Southern California Intercollegiate Athletic Conf.,3,CAL,CLU,CALU,105.0,105.0,Cal Lutheran
California State Sacramento Hornets,California State University-Sacramento,Hornets,Big Sky Conference,1AA,CAS,CSU,CASA,102.0,102.0,Sacramento St.
California University of Pennsylvania Vulcans,California University of Pennsylvania,Vulcans,Pennsylvania State Athletic Conference,2,CPA,CAL,PACS,106.0,106.0,California (PA)
California-Berkeley Golden Bears,University of California-Berkeley,Golden Bears,Pacific Twelve Conference,1A,UCB,CAL,CAUN,107.0,107.0,California
California-Davis Aggies,University of California-Davis,Aggies,Big Sky Conference,1AA,UCD,CAD,CADA,108.0,108.0,UC Davis
California-Los Angeles Bruins,University of California-Los Angeles,Bruins,Pacific Twelve Conference,1A,CLA,UCL,CALA,110.0,110.0,UCLA
Campbell Camels,Campbell University,Camels,Pioneer Football League,1AA,CAM,CU,NCCM,115.0,115.0,Campbell
Campbellsville Tigers,Campbellsville University,Tigers,Mid-South Conference,NAIA,CAM,CU,KYCA,500785.0,500785.0,Campbellsville
Capital Crusaders,Capital University,Crusaders,Ohio Athletic Conference,3,CAP,CU,OHCU,117.0,117.0,Capital
Carleton Knights,Carleton College,Knights,Minnesota Intercollegiate Athletic Conference,3,CAR,CC,MNCA,118.0,118.0,Carleton
Carnegie Mellon Tartans,Carnegie Mellon University,Tartans,Presidents Athletic Conference,3,CM,CAR,PACA,119.0,119.0,Carnegie Mellon
Carroll Fighting Saints,Carroll College,Fighting Saints,Frontier Conference,NAIA,CAR,CC,MTCA,506056.0,506056.0,Carroll (MT)
Carroll Pioneers,Carroll University,Pioneers,Midwest Conference,3,CCP,CU,WICL,120.0,120.0,Carroll (WI)
Carson-Newman Eagles,Carson-Newman College,Eagles,South Atlantic Conference,2,CNC,CAR,TNCN,1000.0,1000.0,Carson-Newman
Carthage Red Men,Carthage College,Red Men,College Conference of Illinois and Wisconsin,3,CRM,CTH,WICG,121.0,121.0,Carthage
Case Western Reserve Spartans,Case Western Reserve University,Spartans,Presidents Athletic Conference,3,CWR,CAS,OHCW,122.0,122.0,CWRU
Castleton Spartans,Castleton State College,Spartans,Eastern Collegiate Football Conference,3,CUS,CSC,VTCA,123.0,123.0,VTSU Castleton
Catawba Indians,Catawba College,Indians,South Atlantic Conference,2,CAT,CAW,NCCA,1001.0,1001.0,Catawba
Catholic Cardinals,The Catholic University of America,Cardinals,Old Dominion Athletic Conference,3,CUA,CAT,DCCA,124.0,124.0,Catholic
Central Arkansas Bears,University of Central Arkansas,Bears,Southland Conference,1AA,UCA,CAR,ARCE,1004.0,1004.0,Central Ark.
Central Connecticut Blue Devils,Central Connecticut State University,Blue Devils,Northeast Conference,1AA,CCS,CEN,CTCE,127.0,127.0,Central Conn. St.
Central Dutch,Central College,Dutch,Iowa Intercollegiate Athletic Conference,3,CCD,CC,IACE,126.0,126.0,Central (IA)
Central Florida Knights,University of Central Florida,Knights,American Athletic Conference,1A,UCF,CF,FLCE,128.0,128.0,UCF
Central Methodist Eagles,Central Methodist University,Eagles,Heart of America Athletic Conference,NAIA,CM,CMU,MOCM,506026.0,506026.0,Central Methodist
Central Michigan Chippewas,Central Michigan University,Chippewas,Mid-American Conference,1A,CMU,CEN,MICE,129.0,129.0,Central Mich.
Central Missouri Mules,University of Central Missouri,Mules,Mid-America Intercollegiate Athletic Association,2,UCM,CEM,MOCE,130.0,130.0,Central Mo.
Central Oklahoma Bronchos,University of Central Oklahoma,Bronchos,Mid-America Intercollegiate Athletic Association,2,COB,CEN,OKCE,1009.0,1009.0,Central Okla.
Central State Marauders,Central State University,Marauders,Southern Intercollegiate Athletic Conference,2,CEN,CSU,OHCE,30049.0,30049.0,Central St. (OH)
Central Washington Wildcats,Central Washington University,Wildcats,Great Northwest Athletic Conference,2,CWU,CEN,WACE,1010.0,1010.0,Central Wash.
Centre Colonels,Centre College,Colonels,Southern Athletic Association,3,CCC,CC,KYCN,132.0,132.0,Centre
Chadron State Eagles,Chadron State College,Eagles,Rocky Mountain Athletic Conference,2,CSE,CSC,NECH,1012.0,1012.0,Chadron St.
Chapman Panthers,Chapman University,Panthers,Southern California Intercollegiate Athletic Conf.,3,CUP,CU,CACC,134.0,134.0,Chapman
Charleston Golden Eagles,University of Charleston,Golden Eagles,Mountain East Conference,2,CH,UC,WVCH,1013.0,1013.0,Charleston (WV)
Charleston Southern Buccaneers,Charleston Southern University,Buccaneers,Big South Conference,1AA,CHA,CSU,SCCH,48.0,48.0,Charleston So.
Charlotte 49ers,University of North Carolina - Charlotte,49ers,Conference USA,1A,NCC,CHA,NCCR,458.0,458.0,Charlotte
Cheyney Wolves,Cheyney University,Wolves,Pennsylvania State Athletic Conference,2,CHY,CHE,PACH,135.0,,
Chicago Maroons,University of Chicago,Maroons,Independent,3,CHI,UC,ILCH,137.0,137.0,UChicago
Chowan Hawks,Chowan College,Hawks,Central Intercollegiate Athletic Association,2,CHW,CHO,NCCH,8875.0,8875.0,Chowan
Christopher Newport Captains,Christopher Newport University,Captains,New Jersey Athletic Conference,3,CNU,CHR,VACN,139.0,139.0,Chris. Newport
Cincinnati Bearcats,University of Cincinnati,Bearcats,American Athletic Conference,1A,CIN,UC,OHCI,140.0,140.0,Cincinnati
Citadel Bulldogs,The Citadel,Bulldogs,Southern Conference,1AA,CIT,TC,SCCI,141.0,141.0,The Citadel
Claremont-Mudd-Scripps Stags,Claremont-Mudd-Scripps Colleges,Stags,Southern California Intercollegiate Athletic Conf.,3,CMS,CLA,CACM,142.0,142.0,Claremont-M-S
Clarion Golden Eagles,Clarion University,Golden Eagles,Pennsylvania State Athletic Conference,2,CGE,CU,PACL,143.0,143.0,Clarion
Clark Atlanta Black Panthers,Clark Atlanta University,Black Panthers,Southern Intercollegiate Athletic Conference,2,CAU,CLA,GACL,144.0,144.0,Clark Atlanta
Clemson Tigers,Clemson University,Tigers,Atlantic Coast Conference,1A,CLM,CLE,SCCL,147.0,147.0,Clemson
Coast Guard Bears,United States Coast Guard Academy,Bears,New England Football Conference,3,CG,UCG,CTCG,722.0,722.0,Coast Guard
Coastal Carolina Chanticleers,Coastal Carolina University,Chanticleers,Big South Conference,1AA,CCU,COA,SCCC,149.0,149.0,Coastal Carolina
Coe Kohawks,Coe College,Kohawks,Iowa Intercollegiate Athletic Conference,3,COE,CC,IACO,150.0,150.0,Coe
Colby Mules,Colby College,Mules,New England Small College Athletic Conference,3,CLB,CBY,MECO,151.0,151.0,Colby
Colgate Raiders,Colgate University,Raiders,Patriot League,1AA,COL,CGT,NYCG,153.0,153.0,Colgate
College of Faith Saints,College of Faith,Saints,Independent,OTHER,CF,FAI,NCFT,506473.0,,
College of Faith Warriors,College of Faith,Warriors,Independent,NAIA,COF,FAI,ARCF,506460.0,,
College of Idaho Yotes,The College of Idaho,Yotes,Frontier Conference,NAIA,COI,CI,IDCO,500088.0,500088.0,Col. of Idaho
Colorado Buffaloes,University of Colorado,Buffaloes,Pacific Twelve Conference,1A,CO,COL,COUN,157.0,157.0,Colorado
Colorado School of Mines Orediggers,Colorado School of Mines,Orediggers,Rocky Mountain Athletic Conference,2,CSM,COL,COMI,155.0,155.0,Colo. Sch. of Mines
Colorado State - Pueblo Thunderwolves,Colorado State U. - Pueblo,Thunderwolves,Rocky Mountain Athletic Conference,2,CSP,COL,COSO,2720.0,2720.0,CSU Pueblo
Colorado State Rams,Colorado State University,Rams,Mountain West Conference,1A,CSU,COL,COST,156.0,156.0,Colorado St.
Columbia Lions,Columbia University,Lions,Ivy League,1AA,CUL,CU,NYCL,158.0,158.0,Columbia
Concord Mountain Lions,Concord University,Mountain Lions,Mountain East Conference,2,CND,CU,WVCO,1028.0,1028.0,Concord
Concordia Bulldogs,Concordia University,Bulldogs,Great Plains Athletic Conference,NAIA,CU,CNU,NECO,506061.0,506061.0,Concordia (NE)
Concordia Cardinals,Concordia University,Cardinals,Mid-States Football Association,NAIA,CU,CO,MICO,501123.0,501123.0,Concordia (MI)
Concordia Cobbers,Concordia College,Cobbers,Minnesota Intercollegiate Athletic Conference,3,CC,CNC,MNCO,161.0,161.0,Concordia-M'head
Concordia Cougars,Concordia University,Cougars,Northern Athletics Conference,3,CUC,CU,ILCT,160.0,160.0,Concordia Chicago
Concordia Falcons,Concordia University,Falcons,Northern Athletics Conference,3,CUF,CU,WICC,1036.0,1036.0,Concordia Wisconsin
Concordia Golden Bears,Concordia University,Golden Bears,Northern Sun Intercollegiate Conference,2,CGB,CU,MNSP,9081.0,9081.0,Concordia-St. Paul
Concordia Hornets,Concordia College-Selma,Hornets,Other,NAIA,CND,CCS,ALCO,506112.0,,
Connecticut Huskies,University of Connecticut,Huskies,American Athletic Conference,1A,UCO,CND,CTUN,164.0,164.0,UConn
Cornell Big Red,Cornell University,Big Red,Ivy League,1AA,COR,CRN,NYCN,167.0,167.0,Cornell
Cornell Rams,Cornell College,Rams,Midwest Conference,3,CCR,CRN,IACR,166.0,166.0,Cornell College
Cortland Red Dragons,SUNY - College at Cortland,Red Dragons,Empire 8 Conference,3,SUN,SUC,NYCT,168.0,168.0,Cortland
Crown Storm,Crown College,Storm,Upper Midwest Athletic Conference,3,CRO,CWN,MNPB,30035.0,30035.0,Crown (MN)
Culver-Stockton Wildcats,Culver-Stockton College,Wildcats,Heart of America Athletic Conference,NAIA,CS,CSC,MOCS,506032.0,506032.0,Culver-Stockton
Cumberland Bulldogs,Cumberland University,Bulldogs,Mid-South Conference,NAIA,CU,CUM,TNCC,501207.0,501207.0,Cumberland (TN)
Cumberlands Patriots,University of the Cumberlands,Patriots,Mid-South Conference,NAIA,CUM,UOC,KYCC,506101.0,506101.0,Cumberlands (KY)
Curry Colonels,Curry College,Colonels,New England Football Conference,3,CUR,CRY,MACU,170.0,170.0,Curry
Dakota State Trojans,Dakota State University,Trojans,North Star Athletic Association,NAIA,DAK,DS,SDDS,506066.0,506066.0,Dakota St.
Dakota Wesleyan Tigers,Dakota Wesleyan University,Tigers,Great Plains Athletic Conference,NAIA,DW,DWU,SDWS,506033.0,506033.0,Dakota Wesleyan
Dartmouth Big Green,Dartmouth College,Big Green,Ivy League,1AA,DAR,DRT,NHDA,172.0,172.0,Dartmouth
Davenport University,Davenport University,Panthers,Great Lakes Intercollegiate Athletic Conference,2,DVU,DVP,MIDA,30221.0,30221.0,Davenport
Davidson Wildcats,Davidson College,Wildcats,Pioneer Football League,1AA,DAV,DVD,NCDA,173.0,173.0,Davidson
Dayton Flyers,University of Dayton,Flyers,Pioneer Football League,1AA,DAY,UD,OHDA,175.0,175.0,Dayton
Dean College,Dean College,Dean College,Northeast JC Football Conference,3,DC,DCB,MADE,30219.0,30219.0,Dean
Defiance Yellow Jackets,Defiance College,Yellow Jackets,Heartland Collegiate Athletic Conference,3,DEF,DC,OHDF,1050.0,1050.0,Defiance
